index,work_id,subject
497,24205,Rivers/Lakes
498,24215,Architectures
499,24215,Rivers/Lakes
500,24223,Architectures
501,24223,Bridges
502,24223,Rivers/Lakes
503,24227,Architectures
504,24227,Gardens
505,24235,Architectures
506,24237,Architectures
507,24241,Architectures
508,24243,Architectures
509,24247,Architectures
510,24251,Architectures
511,24255,Architectures
512,119288,Architectures
513,119288,Rivers/Lakes
514,119190,Architectures
515,119190,Rivers/Lakes
516,119325,Architectures
517,119325,Churches/Temples/Mosques
518,119220,Architectures
519,119220,Rivers/Lakes
520,119238,Architectures
521,119238,Rivers/Lakes
522,24271,Architectures
523,24271,Rivers/Lakes
524,23462,Christianity
525,23462,Jesus Christ
526,23474,Christianity
527,23480,Christianity
528,23484,Portraits
529,23488,Christianity
530,23498,Christianity
531,23494,Christianity
532,23500,Christianity
533,23863,Christianity
534,23502,Christianity
535,23502,Jesus Christ
536,23504,Christianity
537,23506,Christianity
538,23510,Christianity
539,23510,Jesus Christ
540,23512,Christianity
541,26231,Portraits
542,23355,Winter
543,23357,Seascapes
544,23359,Seascapes
545,23361,Rivers/Lakes
546,23371,Gardens
547,23373,Rivers/Lakes
548,23375,Seascapes
549,23379,Seascapes
550,23377,Rivers/Lakes
551,187164,Abstract/Modern Art
552,187175,Abstract/Modern Art
553,30108,Abstract/Modern Art
554,187219,Abstract/Modern Art
555,187230,Abstract/Modern Art
556,187241,Abstract/Modern Art
557,187208,Abstract/Modern Art
558,187197,Abstract/Modern Art
559,187147,Abstract/Modern Art
560,187252,Abstract/Modern Art
561,187263,Abstract/Modern Art
562,30110,Abstract/Modern Art
563,30110,Summer
564,187138,Abstract/Modern Art
565,187186,Abstract/Modern Art
566,30112,Abstract/Modern Art
567,187274,Abstract/Modern Art
568,187285,Abstract/Modern Art
569,187296,Abstract/Modern Art
570,19099,Winter
571,19111,Winter
572,19123,Seascapes
573,19135,Spring
574,19137,Seascapes
575,19139,Winter
576,19141,Lovers
577,25539,Portraits
578,197889,Flowers
579,28497,Portraits
580,28499,Portraits
581,23207,Marine Art/Maritime
582,23209,Marine Art/Maritime
583,23211,Marine Art/Maritime
584,23213,Marine Art/Maritime
585,23213,Seascapes
586,23215,Marine Art/Maritime
587,23217,Marine Art/Maritime
588,23219,Marine Art/Maritime
589,23221,Marine Art/Maritime
590,124186,Summer
591,124301,Flowers
592,124356,Flowers
593,124356,Water Lilies
594,124327,Nude
595,122770,Portraits
596,122726,Flowers
597,122726,Portraits
598,122759,Portraits
599,122748,Flowers
600,120703,Abstract/Modern Art
601,120735,Abstract/Modern Art
602,120746,Abstract/Modern Art
603,120757,Abstract/Modern Art
604,120768,Abstract/Modern Art
605,120779,Abstract/Modern Art
606,196198,Abstract/Modern Art
607,120790,Abstract/Modern Art
608,120801,Abstract/Modern Art
609,196210,Abstract/Modern Art
610,120724,Abstract/Modern Art
611,120812,Abstract/Modern Art
612,120823,Abstract/Modern Art
613,122554,Spring
614,122563,Autumn/Fall
615,122563,Rivers/Lakes
616,122590,Autumn/Fall
617,122599,Rivers/Lakes
618,122682,Seascapes
619,122662,Seascapes
620,122644,Rivers/Lakes
621,31848,Horses
622,31850,Horses
623,31852,Horses
624,31854,Horses
625,31856,Horses
626,31862,Horses
627,31866,Horses
628,31868,Horses
629,31870,Horses
630,31870,Rivers/Lakes
631,31874,Horses
632,31876,Horses
633,31878,Horses
634,31880,Horses
635,31882,Horses
636,31888,Horses
637,31890,Horses
638,31892,Horses
639,31896,Horses
640,31898,Horses
641,31902,Horses
642,31904,Horses
643,31906,Horses
644,123626,Portraits
645,123626,U.S. Presidents
646,123615,Portraits
647,123615,U.S. Presidents
648,123659,Portraits
649,123637,Portraits
650,123637,U.S. Presidents
651,123670,Portraits
652,123681,Portraits
653,123692,Portraits
654,123648,Portraits
655,123648,U.S. Presidents
656,184392,Horses
657,184403,Horses
658,184414,Horses
659,184459,Dogs
660,184477,Deers
661,184477,Dogs
662,184423,Horses
663,184495,Horses
664,184486,Tigers
665,184468,Dogs
666,28183,Portraits
667,28185,Portraits
668,28187,Portraits
669,28189,Portraits
670,28191,Portraits
671,28193,Portraits
672,28195,Portraits
673,28197,Portraits
674,28199,Portraits
675,28199,U.S. Presidents
676,28201,Portraits
677,28201,U.S. Presidents
678,28203,Portraits
679,28203,U.S. Presidents
680,188128,Portraits
681,188128,U.S. Presidents
682,28205,Portraits
683,28207,Portraits
684,28209,Portraits
685,28211,Portraits
686,28213,Portraits
687,28215,Portraits
688,28217,Portraits
689,28219,Portraits
690,28221,Portraits
691,28223,Portraits
692,28225,Portraits
693,28225,U.S. Presidents
694,28227,Portraits
695,28229,Portraits
696,28231,Portraits
697,28233,Portraits
698,28235,Portraits
699,28237,Portraits
700,19876,Musics
701,19882,Flowers
702,19884,Bridges
703,19888,Gardens
704,19890,Winter
705,19892,Seascapes
706,19894,Seascapes
707,19902,Winter
708,19904,Winter
709,19912,Musics
710,19916,Seascapes
711,19922,Winter
712,19924,Spring
713,19928,Musics
714,30046,Still-Life
715,30048,Flowers
716,25545,Jesus Christ
717,187080,Christianity
718,187069,Christianity
719,25549,Christianity
720,25551,Christianity
721,25553,Christianity
722,204763,Christianity
723,29346,Seascapes
724,26926,Architectures
725,26930,Architectures
726,26934,Architectures
727,26952,Architectures
728,26962,Architectures
729,26964,Architectures
730,26978,Architectures
731,2018,Winter
732,2020,Autumn/Fall
733,2022,Spring
734,2024,Autumn/Fall
735,2024,Gardens
736,208139,Still-Life
737,2028,Rivers/Lakes
738,2028,Winter
739,2034,Autumn/Fall
740,2034,Seascapes
741,2036,Autumn/Fall
742,2040,Rivers/Lakes
743,2042,Seascapes
744,2044,Rivers/Lakes
745,2050,Water Lilies
746,2058,Flowers
747,2060,Flowers
748,2062,Bridges
749,2062,Rivers/Lakes
750,2064,Water Lilies
751,2066,Seascapes
752,2068,Seascapes
753,2070,Seascapes
754,2072,Gardens
755,2074,Gardens
756,2076,Gardens
757,2082,Rivers/Lakes
758,2084,Bridges
759,2084,Rivers/Lakes
760,2086,Rivers/Lakes
761,2090,Bridges
762,2090,Rivers/Lakes
763,2088,Bridges
764,2088,Rivers/Lakes
765,2080,Bridges
766,2080,Rivers/Lakes
767,2092,Flowers
768,2094,Seascapes
769,2096,Seascapes
770,2098,Seascapes
771,2098,Spring
772,208300,Seascapes
773,2264,Rivers/Lakes
774,2100,Seascapes
775,2104,Rivers/Lakes
776,2106,Seascapes
777,2108,Seascapes
778,2114,Autumn/Fall
779,2114,Flowers
780,2120,Seascapes
781,2124,Seascapes
782,2126,Flowers
783,2130,Flowers
784,2130,Gardens
785,198264,Dogs
786,2134,Spring
787,2146,Summer
788,2154,Winter
789,2152,Winter
790,208110,Rivers/Lakes
791,2158,Seascapes
792,2160,Summer
793,2168,Seascapes
794,2172,Architectures
795,2172,Rivers/Lakes
796,2386,Gardens
797,2386,Seascapes
798,2396,Seascapes
799,29270,Flowers
800,29270,Gardens
801,125295,Seascapes
802,125208,Flowers
803,125208,Rivers/Lakes
804,125219,Landscape Art
805,125219,Winter
806,125251,Seascapes
807,125240,Seascapes
808,125262,Flowers
809,125273,Winter
810,125498,Seascapes
811,125284,Seascapes
812,125339,Seascapes
813,125350,Seascapes
814,125361,Seascapes
815,125383,Landscape Art
816,125383,Winter
817,125507,Autumn/Fall
818,125507,Flowers
819,125394,Landscape Art
820,125394,Winter
821,125306,Winter
822,125317,Winter
823,125471,Autumn/Fall
824,125471,Landscape Art
825,125471,Winter
826,125328,Winter
827,125427,Landscape Art
828,125427,Winter
829,125438,Landscape Art
830,125438,Winter
831,125449,Autumn/Fall
832,125449,Landscape Art
833,125449,Winter
834,160753,Landscape Art
835,160388,Landscape Art
836,160396,Landscape Art
837,193949,Lovers
838,193949,Musics
839,193880,Gardens
840,193889,Lovers
841,27880,Flowers
842,27882,Gardens
843,27882,Rivers/Lakes
844,27884,Rivers/Lakes
845,27886,Gardens
846,27886,Rivers/Lakes
847,171883,Rivers/Lakes
848,171892,Gardens
849,171667,Rivers/Lakes
850,171676,Rivers/Lakes
851,171685,Rivers/Lakes
852,27890,Gardens
853,27892,Rivers/Lakes
854,27894,Rivers/Lakes
855,171712,Flowers
856,171721,Rivers/Lakes
857,171730,Rivers/Lakes
858,27900,Gardens
859,171739,Gardens
860,27902,Gardens
861,171748,Gardens
862,27904,Gardens
863,5636,Nude
864,5648,Christianity
865,5648,Jesus Christ
866,5650,Horses
867,5676,Portraits
868,5712,Christianity
869,5712,Portraits
870,5714,Portraits
871,5718,Horses
872,5768,Christianity
873,5768,Jesus Christ
874,5778,Musics
875,28935,Marine Art/Maritime
876,28937,Marine Art/Maritime
877,28939,Marine Art/Maritime
878,28941,Marine Art/Maritime
879,28943,Marine Art/Maritime
880,28945,Marine Art/Maritime
881,28947,Marine Art/Maritime
882,28951,Marine Art/Maritime
883,28949,Marine Art/Maritime
884,28953,Churches/Temples/Mosques
885,28953,Marine Art/Maritime
886,28955,Marine Art/Maritime
887,28957,Marine Art/Maritime
888,2709,Flowers
889,2713,Nude
890,2718,Dancers
891,2728,Dancers
892,2730,Dancers
893,2732,Dancers
894,2736,Dancers
895,2734,Dancers
896,2740,Dancers
897,2738,Dancers
898,2742,Dancers
899,2744,Nude
900,195004,Nude
901,2856,Horses
902,2754,Cafes/Bars
903,2754,Musics
904,2760,Dancers
905,2758,Dancers
906,29249,Portraits
907,139499,Portraits
908,122442,Musics
909,5271,Horses
910,122518,Flowers
911,122518,Still-Life
912,122529,Summer
913,7111,Cafes/Bars
914,7113,Dogs
915,7121,Summer
916,7123,Cafes/Bars
917,7125,Cafes/Bars
918,7131,Portraits
919,7133,Lovers
920,7137,Flowers
921,7145,Cafes/Bars
922,7147,Rivers/Lakes
923,7149,Flowers
924,7161,Lovers
925,7167,Jesus Christ
926,20424,Churches/Temples/Mosques
927,208769,Musics
928,208781,Gardens
929,20448,Flowers
930,27221,Nude
931,27225,Horses
932,27239,Gardens
933,27241,Lovers
934,27265,Portraits
935,24317,Lovers
936,24317,Nude
937,24329,Nude
938,24331,Nude
939,24351,Nude
940,22637,Summer
941,22638,Summer
942,22645,Rivers/Lakes
943,22655,Summer
944,22656,Summer
945,24515,Marine Art/Maritime
946,24517,Marine Art/Maritime
947,24519,Marine Art/Maritime
948,29183,Architectures
949,29183,Rivers/Lakes
950,29185,Architectures
951,178385,Churches/Temples/Mosques
952,178259,Dancers
953,178273,Horses
954,178280,Horses
955,178420,Gardens
956,178427,Dancers
957,178154,Cafes/Bars
958,178165,Horses
959,28823,Autumn/Fall
960,28833,Lovers
961,28835,Lovers
962,28837,Nude
963,28843,Nude
964,28845,Portraits
965,28861,Nude
966,28863,Nude
967,28869,Lovers
968,28875,Portraits
969,198405,Christianity
970,18963,Jesus Christ
971,18967,Christianity
972,18967,Jesus Christ
973,18965,Christianity
974,18965,Jesus Christ
975,18969,Christianity
976,18969,Jesus Christ
977,18971,Jesus Christ
978,204878,Christianity
979,204878,Jesus Christ
980,198417,Christianity
981,18977,Christianity
982,18993,Portraits
983,121858,Portraits
984,121869,Portraits
985,181636,Portraits
986,181654,Portraits
987,181663,Portraits
988,181672,Portraits
989,31808,Portraits
990,206649,Portraits
991,181645,Portraits
992,181681,Portraits
993,121922,Portraits
994,121931,Portraits
995,181726,Portraits
996,121913,Portraits
997,181690,Portraits
998,181699,Portraits
999,181717,Portraits
1000,181708,Portraits
1001,121880,Portraits
1002,121940,Portraits
1003,121891,Portraits
1004,121902,Portraits
1005,31812,Portraits
1006,31814,Portraits
1007,22995,Autumn/Fall
1008,23001,Portraits
1009,23005,Still-Life
1010,23007,Still-Life
1011,23011,Flowers
1012,151064,Rivers/Lakes
1013,151108,Rivers/Lakes
1014,151152,Rivers/Lakes
1015,151163,Winter
1016,151196,Rivers/Lakes
1017,151196,Winter
1018,151207,Spring
1019,151489,Winter
1020,151229,Autumn/Fall
